,tag,pattern,response
172,overcoming adversity,tip for overcome challenge,Believe in your ability to overcome obstacles; you are stronger than you think!
173,goodbye,bye,See you!
174,goodbye,bye,Have a nice day
175,goodbye,bye,Bye! Come back again soon.
176,goodbye,bye,Happy to help
177,goodbye,see you later,See you!
178,goodbye,see you later,Have a nice day
179,goodbye,see you later,Bye! Come back again soon.
180,goodbye,see you later,Happy to help
181,goodbye,goodbye,See you!
182,goodbye,goodbye,Have a nice day
183,goodbye,goodbye,Bye! Come back again soon.
184,goodbye,goodbye,Happy to help
185,goodbye,nice chat to you bye,See you!
186,goodbye,nice chat to you bye,Have a nice day
187,goodbye,nice chat to you bye,Bye! Come back again soon.
188,goodbye,nice chat to you bye,Happy to help
189,goodbye,till next time,See you!
190,goodbye,till next time,Have a nice day
191,goodbye,till next time,Bye! Come back again soon.
192,goodbye,till next time,Happy to help
193,goodbye,bye chatbot,See you!
194,goodbye,bye chatbot,Have a nice day
195,goodbye,bye chatbot,Bye! Come back again soon.
196,goodbye,bye chatbot,Happy to help
197,thanks,thank,Happy to help! Any other issues?
198,thanks,thank,Any time! Any other issues I can help with?
199,thanks,thank,My pleasure! Any other Issues I can help with?
200,thanks,thank you,Happy to help! Any other issues?
201,thanks,thank you,Any time! Any other issues I can help with?
202,thanks,thank you,My pleasure! Any other Issues I can help with?
203,thanks,that s helpful,Happy to help! Any other issues?
204,thanks,that s helpful,Any time! Any other issues I can help with?
205,thanks,that s helpful,My pleasure! Any other Issues I can help with?
206,thanks,awesome thank,Happy to help! Any other issues?
207,thanks,awesome thank,Any time! Any other issues I can help with?
208,thanks,awesome thank,My pleasure! Any other Issues I can help with?
209,thanks,thank for help I,Happy to help! Any other issues?
210,thanks,thank for help I,Any time! Any other issues I can help with?
211,thanks,thank for help I,My pleasure! Any other Issues I can help with?
212,goodbye,cya,Sad to see you go :(
213,goodbye,cya,Talk to you later
214,creator,what be the name of your developer,College students
215,creator,what be the name of your creator,College students
216,creator,what be the name of the developer,College students
217,creator,what be the name of the creator,College students
218,creator,who create you,College students
219,creator,your developer,College students
220,creator,your creator,College students
221,creator,who be your developer,College students
222,creator,developer,College students
223,creator,you be make by,College students
224,creator,you be make by whom,College students
225,creator,creator,College students
226,creator,who make you,College students
227,creator,who design you,College students
228,name,name,You can call me Mind Reader.
229,name,name,I'm Mind Reader
230,name,name,I am a Chatbot.
231,name,name,I am your helper
232,name,your name,You can call me Mind Reader.
233,name,your name,I'm Mind Reader
234,name,your name,I am a Chatbot.
235,name,your name,I am your helper
236,name,do you have a name,You can call me Mind Reader.
237,name,do you have a name,I'm Mind Reader
238,name,do you have a name,I am a Chatbot.
239,name,do you have a name,I am your helper
240,name,what be you call,You can call me Mind Reader.
241,name,what be you call,I'm Mind Reader
242,name,what be you call,I am a Chatbot.
243,name,what be you call,I am your helper
244,name,what be your name,You can call me Mind Reader.
245,name,what be your name,I'm Mind Reader
246,name,what be your name,I am a Chatbot.
247,name,what be your name,I am your helper
248,name,what should I call you,You can call me Mind Reader.
249,name,what should I call you,I'm Mind Reader
250,name,what should I call you,I am a Chatbot.
251,name,what should I call you,I am your helper
252,name,what s your name,You can call me Mind Reader.
253,name,what s your name,I'm Mind Reader
254,hours,timing of college,College is open 8am-5pm Monday-Saturday!
255,hours,what be college timing,College is open 8am-5pm Monday-Saturday!
256,hours,working day,College is open 8am-5pm Monday-Saturday!
257,hours,when be you guy open,College is open 8am-5pm Monday-Saturday!
258,hours,what be your hour,College is open 8am-5pm Monday-Saturday!
259,hours,hour of operation,College is open 8am-5pm Monday-Saturday!
260,hours,when be the college open,College is open 8am-5pm Monday-Saturday!
261,hours,college timing,College is open 8am-5pm Monday-Saturday!
262,hours,what about college timing,College is open 8am-5pm Monday-Saturday!
263,hours,be college open on saturday,College is open 8am-5pm Monday-Saturday!
264,hours,tell something about college timing,College is open 8am-5pm Monday-Saturday!
265,hours,what be the college hour,College is open 8am-5pm Monday-Saturday!
266,hours,when should I come to college,College is open 8am-5pm Monday-Saturday!
267,hours,when should I attend college,College is open 8am-5pm Monday-Saturday!
268,hours,what be my college time,College is open 8am-5pm Monday-Saturday!
269,hours,time college,College is open 8am-5pm Monday-Saturday!
270,number,more info,You can contact at: NUMBER
271,number,contact info,You can contact at: NUMBER
272,number,how to contact college,You can contact at: NUMBER
273,number,college telephone number,You can contact at: NUMBER
274,number,college number,You can contact at: NUMBER
275,number,what be your contact no,You can contact at: NUMBER
276,number,contact number,You can contact at: NUMBER
277,number,how to call you,You can contact at: NUMBER
278,number,college phone no,You can contact at: NUMBER
279,number,how can I contact you,You can contact at: NUMBER
280,number,can I get your phone number,You can contact at: NUMBER
281,number,how can I call you,You can contact at: NUMBER
282,number,phone number,You can contact at: NUMBER
283,number,phone no,You can contact at: NUMBER
284,number,call,You can contact at: NUMBER
285,course,list of course,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
286,course,list of course offer,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
287,course,list of course offer in,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
288,course,what be the course offer in your college,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
289,course,course,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
290,course,course offer,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
291,course,course offer in your univrsity uni name,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
292,course,course you offer,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
293,course,branch,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
294,course,course available at uni,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
295,course,branch available at your college,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
296,course,what be the course in uni,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
297,course,what be branch in uni,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
298,course,what be course in uni,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
299,course,branch available in uni,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
300,course,can you tell I the course available in uni,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
301,course,can you tell I the branch available in uni,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
302,course,computer engineering,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
303,course,computer,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
304,course,it,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
305,course,information technology,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
306,course,ai ml,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
307,course,mechanical engineering,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
308,course,chemical engineering,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
309,course,civil engineering,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
310,fees,information about fee,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
311,fees,information on fee,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
312,fees,tell I the fee,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
313,fees,college fee,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
314,fees,fee per semester,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
315,fees,what be the fee of each semester,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
316,fees,what be the fee of each year,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
317,fees,what be fee,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
318,fees,what be the fee,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
319,fees,how much be the fee,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
320,fees,fee for first year,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
321,fees,fee,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
322,fees,about the fee,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
323,fees,tell I something about the fee,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
324,fees,what be the fee of hostel,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
325,fees,hostel fee,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
326,fees,fee for ac room,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
327,fees,fee for non ac room,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
328,fees,fee for ac room for girl,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
329,fees,fee for non ac room for girl,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
330,fees,fee for ac room for boy,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
331,fees,fee for non ac room for boy,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>"
332,hostel,hostel facility,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
333,hostel,hostel servive,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
334,hostel,hostel location,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
335,hostel,hostel address,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
336,hostel,hostel fee,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
337,hostel,do college provide hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
338,hostel,be there any hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
339,hostel,where be hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
340,hostel,do you have hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
341,hostel,do you guy have hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
342,hostel,hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
343,hostel,hostel capacity,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
344,hostel,what be the hostel fee,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
345,hostel,how to get in hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
346,hostel,what be the hostel address,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
347,hostel,how far be hostel from college,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
348,hostel,hostel college distance,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
349,hostel,where be the hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
350,hostel,how big be the hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
351,hostel,distance between college and hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
352,hostel,distance between hostel and college,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>"
353,menu,food menu,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu"
354,menu,food in canteen,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu"
355,menu,what s there on menu,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu"
356,menu,what be available in college canteen,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu"
357,menu,what food can we get in college canteen,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu"
358,menu,food variety,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu"
359,menu,what be there to eat,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu"
360,scholarship,scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
361,scholarship,be scholarship available,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
362,scholarship,scholarship engineering,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
363,scholarship,scholarship it,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
364,scholarship,scholarship ce,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
365,scholarship,scholarship mechanical,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
366,scholarship,scholarship civil,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
367,scholarship,scholarship chemical,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
368,scholarship,scholarship for ai ml,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
369,scholarship,available scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>"
